url,title,brand,manufacturer,price,package_size_of_price,price_per_unit,sku,manufacturer_part_no,unspsc_code,color,type,material,plate_configuration,grade,product_weight,overall_height,overall_width,number_of_gangs,unit_of_meassurement,express_available,breadcrumbs,image_url,description,features,applications
https://www.fastenal.com/product/details/0728835,Gray WP Single-Gang SP 125V 10A Vertical Lever Switch Cover,RACO,HUBBELL,16.07,,16.07,0728835,5121-0,39121704,Gray,Wall Plate,Metal,,,0.3323,"4.61""","2.83""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates","['https://img3.fastenal.com/infp360pmm/derivates/3/001/223/143/0728835.jpg', 'https://img0.fastenal.com/infp360pmm/derivates/3/001/118/945/0728835_Product2_eng.jpg', 'https://img2.fastenal.com/infp360pmm/derivates/3/001/118/966/0728835_Product3_eng.jpg']",,,
https://www.fastenal.com/product/details/0703919,BRY-Silver 2 Toggle Switch Wall Plate,BRYANT,HUBBELL,123.60,20,6.18,0703919,SS2,39121704,Silver,Wall Plate,Stainless Steel,Toggle Switch,,0.21,"4.50""","4.56""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img3.fastenal.com/infp360pmm/derivates/3/001/142/898/0703919.jpg'],Bryant's Stainless Steel Wall Plates provide solutions for a variety of industrial and commercial applications.,"Environments subjected to heavy abuse,The 302/304 type stainless steel wall plates are ideal for highly corrosive environments such as food processing, hospitals, static free requirements and more,Non-magnetic: 18.0% Chromium, 8.0% Nickel","Industrial, Commercial, and Institutional use"
https://www.fastenal.com/product/details/0703923,BRY-Silver 15/20AMP Sgl Receptacle Wall Plate,BRYANT,HUBBELL,30.40,10,3.04,0703923,SS7,39121704,Silver,Wall Plate,Stainless Steel,Single Receptacle,,0.13,"4.50""","2.75""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img2.fastenal.com/infp360pmm/derivates/3/001/766/492/$v2/0703923_primary_eng.jpg'],Rounded edges to prevent injury and wall damage;Standard stainless steel: Type 302/304 (0.040 in. thick);Comes with screws,"Used with Single Receptacles with Face Dia. 1.40"" (35.6)",
https://www.fastenal.com/product/details/0703562,GFCI Vertical RAYNTITE 2-Gang Device Cover,RACO,HUBBELL,1275.36,24,53.14,0703562,5045-0,39121704,Gray,Wall Plate,Die Cast Aluminum,,,0.5,"4.50""","4.50""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img4.fastenal.com/infp360pmm/derivates/3/001/293/804/0703562.jpg'],,"Rugged diecast construction,State-of-the-art powder coat finish provides maximum weatherability and scratch-resistance,Self-closing lids assure weatherproof protection when the receptacle is not in use,Padlockable, 1/4 in. diameter hole,May be mounted to box or device,Includes gasket and mounting hardware,Multi-lingual instructions in each package",For use whenever weatherproof protection is required for an outdoor receptacle.
https://www.fastenal.com/product/details/0745138,"4.50""Hx2.87""Wx0.035""D Stainless Steel 1Gang Single Wall Plate",BRYANT,HUBBELL,9.62,,9.62,0745138,SS723,39121704,Silver,Wall Plate,Stainless Steel,,,0.1,"4.50""","2.87""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img0.fastenal.com/infp360pmm/derivates/3/001/143/270/0745138.jpg'],"Hubbell offers a wide variety of configurations, sizes, and finishes in both metal and nylon wall plates for use in industrial, institutional, commercial, and residential applications. We offer finishes in nylon, aluminum, brass, brass plated, chrome, and stainless steel. We have totally redesigned and expanded our line of nylon wall plates featuring larger standard sized wall plates to give extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with excellent clean ability in all different types of environments.",Protective plastic film helps to prevent scratches and damageNon-magneticIdeal for highly corrosive environments,Industrial and commercial</br>applications; environments subjected to heavy abuse.
https://www.fastenal.com/product/details/0745098,"4.50""Hx4.56""Wx0.035""D Stainless Steel 2Gang Double Decorator/GFCI Wall Plate",BRYANT,HUBBELL,6.60,,6.60,0745098,SS262,39121704,Silver,Wall Plate,Stainless Steel,Rocker Plate,,0.1,"4.50""","4.56""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img3.fastenal.com/infp360pmm/derivates/3/001/125/0745098.jpg'],"Hubbell offers a wide variety of configurations, sizes, and finishes in both metal and nylon wall plates for use in industrial, institutional, commercial, and residential applications. We offer finishes in nylon, aluminum, brass, brass plated, chrome, and stainless steel. We have totally redesigned and expanded our line of nylon wall plates featuring larger standard sized wall plates to give extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with excellent clean ability in all different types of environments.","Finish is lacquer coated to inhibit oxidationMagnetic: 17.0% Chromium, Less than 0.5% NickelIdeal for highly corrosive environmentsEnvironments subjected to heavy abuse",Industrial and commercial</br>applications; environments subjected to heavy abuse.
https://www.fastenal.com/product/details/922570378,2 Gang Ivory Toggle Switch Wall Plate,BRYANT,HUBBELL,58.75,25,2.35,922570378,P2I,39121704,Ivory,Wall Plate,Polycarbonate,Toggle Switch,Industrial / Commercial / Residential,0.08,"4.63""","4.69""",2,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img3.fastenal.com/infp360pmm/derivates/3/001/766/978/$v2/922570378_primary_eng.jpg'],"Hubbell's line of polycarbonate wallplates features larger standard sized wallplates to provide extra coverage to hide rough box opening, improved aesthetics, greater strength, impact resistance, along with easy to clean finish in all different types of environments.Hubbell's standard sized wallplates are ¹⁄8 inch larger to provide you that extra coverage to hide rough box openings. The depth is ¼ inch so that it will comfortably fit over the device even on imperfect installations or on retrofit work.","Blends into wall with an optimum finishSmooth satin finishSharp lines and less dimplingMore RigidHigh-impact, self-extinguishing polycarbonate material","Industrial, Commercial, Institutional, and Residential use;Protection against contact of live terminals and wiring. Provides finished look to installation."
https://www.fastenal.com/product/details/99403707,1 Gang 302/304 Stainless Steel 1-Blank Strap Mount Standard Wall Plate,BRYANT,HUBBELL,9.46,,9.46,99403707,SS14,39121704,,Wall Plate,Stainless Steel,Blank,,0.4,"4.50""","2.88""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img1.fastenal.com/infp360pmm/derivates/3/001/231/381/99403707.jpg'],Stainless Steel Wall Plates provide solutions for a variety of industrial and commercial applications; with environments subjected to heavy abuse,"The 302/304 type stainless steel wallplates are ideal for highly corrosive environments such as food processing, hospitals, static free requirements and more Non-magnetic: 18.0% Chromium, 8.0% Nickel","ideal for highly corrosive environments</br>such as food processing, hospitals, static</br>free requirements and more"
https://www.fastenal.com/product/details/0745461,20/30A Grey Thermoplastic 3/4/5Wire 1Gang Weatherproof Lift Plate,WIRING DEVICE-KELLEMS,HUBBELL,129.23,,129.23,0745461,WP2,39121704,Gray,Wall Plate,Thermoplastic,,Weatherproof,0.3,"4.58""","3.31""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img3.fastenal.com/infp360pmm/derivates/3/001/290/173/0745461.jpg'],"Weatherproof Lift Cover For Flanged Inlets and Flanged Receptacles, for 20 and 30A, 3-, 4- and 5-wire Insulgrip flanged inlets and flanged outlets","Weatherproof Plate for Flanged Inlets and Flanged ReceptaclesGray thermoplastic, corrosion resistant","Weatherproof Receptacle Cover For Wet, Damp, and Indoor Applications"
https://www.fastenal.com/product/details/0703552,Duplex RAYNTITE Single-Gang Device Cover,RACO,HUBBELL,608.40,24,25.35,0703552,5027-0,39121704,Gray,Wall Plate,Die Cast Aluminum,,,0.545,"4.50""","4.50""",1,each,No,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",['https://img2.fastenal.com/infp360pmm/derivates/3/001/110/217/0703552.jpg'],,"Rugged diecast construction,State-of-the-art powder coat finish provides maximum weatherability and scratch-resistance,Self-closing lids assure weatherproof protection when the receptacle is not in use,Vertical mount covers padlockable,May be mounted to box or device,Includes gasket and mounting hardware,Multi-lingual instructions in each package",For use whenever weatherproof protection is required for an outdoor receptacle.
