brand,breadcrumbs,color,express_available,image_url,manufacturer,manufacturer_part_no,material,number_of_gangs,overall_height,overall_width,price,sku,title,type,unit_of_meassurement,unspsc_code,url
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Orange,No,https://img2.fastenal.com/infp360pmm/derivates/7/254/025/923211833_primary_en.jpg,HUBBELL,P720OIG,Polycarbonate,1,"4.63""","2.88""",0.80,923211833,"1.6"" Orange Polycarbonate Thermoplastic Single Receptacle Wall Plate",Wall Plate,each,39121704,https://www.fastenal.com/product/details/923211833
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Brown,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/767/037/$v2/922570081_primary_eng.jpg,HUBBELL,P2,Polycarbonate,2,"4.63""","4.69""",64.00,922570081,2 Gang Brown Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570081
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Red,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/767/062/$v2/922570225_primary_eng.jpg,HUBBELL,P1R,Polycarbonate,1,"4.63""","2.88""",34.50,922570225,Wallplate Toggle 1-Gang Red,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570225
,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/166/527/0767736.jpg,CORTECH,TPDD,Nylon,2,"5.50""","5.50""",26.38,0767736,White Polycarbonate/Nylon Tiger Plates High Security 2-Gang Duplex Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0767736
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Tan,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/767/033/$v2/922570088_primary_eng.jpg,HUBBELL,P13LA,Polycarbonate,1,"4.63""","2.88""",41.00,922570088,Wallplate 1-Gang Box Mount Blank Light Almond,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570088
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Red,No,https://img1.fastenal.com/infp360pmm/derivates/3/001/767/056/$v2/922570240_primary_eng.jpg,HUBBELL,P26R,Polycarbonate,1,"4.63""","2.88""",65.00,922570240,Wallplate 1-Gang 1) Decorator Red,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570240
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/767/028/$v2/922570100_primary_eng.jpg,HUBBELL,P26GY,Polycarbonate,1,"4.63""","2.88""",21.00,922570100,Wallplate 1-Gang 1) Decorator Gray,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570100
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Ivory,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/875/$v2/922570336_primary_eng.jpg,HUBBELL,PJ18I,Polycarbonate,2,"4.94""","5.00""",76.25,922570209,2 Gang Ivory Duplex Receptacle / Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570209
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Silver,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/267/459/0703920.jpg,HUBBELL,SS3,Stainless Steel,3,"4.88""","6.75""",79.00,0703920,BRY-Silver 3 Toggle Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0703920
KILLARK,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/267/559/0722450.jpg,HUBBELL,FCLG,Aluminum,,,,347.85,0722450,"1.625""Dia 1 Gang HD Round Receptacle w/ Gasket",Wall Plate,each,39121704,https://www.fastenal.com/product/details/0722450
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/955/$v2/922570364_primary_eng.jpg,HUBBELL,P264W,Polycarbonate,4,"4.63""","8.31""",227.50,922570364,Wallplate 4-Gang 4) Decorator White,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570364
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/766/895/$v2/922570257_primary_eng.jpg,HUBBELL,P7GY,Polycarbonate,1,"4.63""","2.88""",42.50,922570257,"Wallplate 1-Gang 1.40"" Opening Gray",Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570257
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Gray,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/766/974/$v2/922570384_primary_eng.jpg,HUBBELL,PJ8GY,Polycarbonate,1,"4.94""","3.15""",38.25,922570239,1 Gang Gray Duplex Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570239
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Black,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/767/017/$v2/922570073_primary_eng.jpg,HUBBELL,P262BK,Polycarbonate,2,"4.63""","4.69""",42.50,922570073,Wallplate 2-Gang 2) Decorator Black,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570073
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Black,No,https://img2.fastenal.com/infp360pmm/derivates/3/001/767/002/$v2/922570144_primary_eng.jpg,HUBBELL,PJ26BK,Polycarbonate,1,"4.94""","3.15""",83.50,922570331,Wallplate Mid-Size 1-Gang 1) Decorator Black,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570331
,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img4.fastenal.com/infp360pmm/derivates/3/001/267/824/0767734.jpg,CORTECH,TPSS,Nylon,1,"5.50""","3.50""",23.85,0767734,White Polycarbonate/Nylon Tiger Plates High Security 1-Gang Switch Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/0767734
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Brown,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/767/093/$v2/922570176_primary_eng.jpg,HUBBELL,P7,Polycarbonate,1,"4.63""","2.88""",42.50,922570176,"Wallplate 1-Gang 1.40"" Opening Brown",Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570176
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",Black,No,https://img3.fastenal.com/infp360pmm/derivates/3/001/767/058/$v2/922570236_primary_eng.jpg,HUBBELL,P826BK,Polycarbonate,2,"4.63""","4.69""",144.00,922570236,2 Gang Black Duplex Receptacle Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570236
BRYANT,"Electrical > Plugs, Receptacles and Connectors > Wall Plates",White,No,https://img0.fastenal.com/infp360pmm/derivates/3/001/767/080/$v2/922570153_primary_eng.jpg,HUBBELL,P1326W,Polycarbonate,2,"4.63""","4.69""",185.00,922570153,2 Gang White Blank Wall Plate,Wall Plate,each,39121704,https://www.fastenal.com/product/details/922570153
