2026-01-28 03:49:34,557 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:34,557 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/home/shop-by-product/room-fragrance/view-all.html
2026-01-28 03:49:34,654 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/home/shop-by-product/room-fragrance/view-all.html is 403
2026-01-28 03:49:34,654 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:49:34,654 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:49:34,655 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:49:35,475 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:35,475 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:35,475 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:35,475 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/beauty/shop-by-product/makeup/view-all.html
2026-01-28 03:49:35,580 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/beauty/shop-by-product/makeup/view-all.html is 403
2026-01-28 03:49:35,580 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:49:35,580 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:49:35,580 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:49:36,400 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:36,400 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:36,400 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:36,400 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/baby/shop-by-product/clothing/view-all.html
2026-01-28 03:49:36,498 | INFO | handm_scraper | status code of https://www2.hm.com/en_in/baby/shop-by-product/clothing/view-all.html is 403
2026-01-28 03:49:36,499 | ERROR | handm_scraper | error change client identifier list index out of range
2026-01-28 03:49:36,499 | INFO | handm_scraper | params fetching failed becuase cannot access local variable 'script' where it is not associated with a value
2026-01-28 03:49:36,499 | ERROR | handm_scraper | api params sending failed
2026-01-28 03:49:37,317 | INFO | handm_scraper | [INFO] STATUS CODE FOR PAGE NO : 1 = 404
2026-01-28 03:49:37,318 | ERROR | handm_scraper | Request blocked or failed
2026-01-28 03:49:37,318 | INFO | handm_scraper | successfully fetched 0 links
2026-01-28 03:49:37,318 | INFO | handm_scraper | getting api params from https://www2.hm.com/en_in/baby/products/clothing/view-all.html
