2026-02-17 00:53:52,663 | INFO | academy_scraper | found category Men's Cargo Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Cargo Pants
2026-02-17 00:53:52,663 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-cargo-pants
2026-02-17 00:53:53,703 | INFO | academy_scraper | found category Men's Fishing Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Fishing Clothing > Men's Fishing Pants
2026-02-17 00:53:53,703 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-fishing-clothing-/mens-fishing-pants
2026-02-17 00:53:54,842 | INFO | academy_scraper | found category Men's Athletic + Workout Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Athletic + Workout Pants
2026-02-17 00:53:54,842 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-athletic-pants--1
2026-02-17 00:53:55,865 | INFO | academy_scraper | found category Men's Tights + Leggings with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Tights + Leggings
2026-02-17 00:53:55,865 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-tights-leggings
2026-02-17 00:53:56,873 | INFO | academy_scraper | found category Men's Lounge Pants with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Lounge Pants
2026-02-17 00:53:56,873 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-lounge-pants
2026-02-17 00:53:59,022 | INFO | academy_scraper | found category Men's Basketball Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Shorts > Men's Basketball Shorts
2026-02-17 00:53:59,022 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shorts/mens-basketball-shorts
2026-02-17 00:53:59,749 | INFO | academy_scraper | found category Men's Fishing Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Fishing Clothing > Men's Fishing Shorts
2026-02-17 00:53:59,749 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-fishing-clothing-/mens-fishing-shorts-
2026-02-17 00:54:00,301 | INFO | academy_scraper | found category Men's Casual Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Shorts > Men's Casual Shorts
2026-02-17 00:54:00,301 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shorts/mens-casual-shorts
2026-02-17 00:54:01,280 | INFO | academy_scraper | found category Men's Athletic + Gym Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Shorts > Men's Athletic + Gym Shorts
2026-02-17 00:54:01,280 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shorts/mens-athletic-shorts
2026-02-17 00:54:01,762 | INFO | academy_scraper | found category Men's Running Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Shorts > Men's Running Shorts
2026-02-17 00:54:01,762 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shorts/mens-running-shorts
2026-02-17 00:54:02,302 | INFO | academy_scraper | found category Men's 2-in-1 Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Shorts > Men's 2-in-1 Shorts
2026-02-17 00:54:02,302 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-shorts/mens-2-in-1-shorts
2026-02-17 00:54:03,330 | INFO | academy_scraper | found category Men's Underwear with breadcrumb Academy > Men's > Men's Clothing > Men's Underwear
2026-02-17 00:54:03,330 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-underwear
2026-02-17 00:54:04,767 | INFO | academy_scraper | found category Men's Swim Shirts + Rash Guards with breadcrumb Academy > Men's > Men's Clothing > Men's Swimsuits > Men's Swim Shirts + Rash Guards
2026-02-17 00:54:04,767 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-swimsuits/mens-rash-guards-swim-shirts
2026-02-17 00:54:05,583 | INFO | academy_scraper | found category Men's Board Shorts with breadcrumb Academy > Men's > Men's Clothing > Men's Swimsuits > Men's Board Shorts
2026-02-17 00:54:05,583 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-swimsuits/mens-boardshorts-trunks
2026-02-17 00:54:06,601 | INFO | academy_scraper | found category Men's Swim Briefs + Jammers with breadcrumb Academy > Men's > Men's Clothing > Men's Swimsuits > Men's Swim Briefs + Jammers
2026-02-17 00:54:06,602 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-swimsuits/mens-briefs-jammers
2026-02-17 00:54:07,736 | INFO | academy_scraper | found category Men's Competitive Swim with breadcrumb Academy > Men's > Men's Clothing > Men's Swimsuits > Men's Competitive Swim
2026-02-17 00:54:07,736 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-swimsuits/mens-competitive-swim
2026-02-17 00:54:08,649 | INFO | academy_scraper | found category Men's Swim Trunks + Volleys with breadcrumb Academy > Men's > Men's Clothing > Men's Swimsuits > Men's Swim Trunks + Volleys
2026-02-17 00:54:08,649 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-swimsuits/mens-swim-trunks-volleys
2026-02-17 00:54:10,087 | INFO | academy_scraper | found category Men's Pullover Hoodies with breadcrumb Academy > Men's > Men's Clothing > Men's Hoodies + Sweatshirts > Men's Pullover Hoodies
2026-02-17 00:54:10,088 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-hoodies-and-sweatshirts/mens-hoodies
2026-02-17 00:54:10,447 | INFO | academy_scraper | found category Men's Zip Up Hoodies with breadcrumb Academy > Men's > Men's Clothing > Men's Hoodies + Sweatshirts > Men's Zip Up Hoodies
2026-02-17 00:54:10,447 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-hoodies-and-sweatshirts/mens-full-zip
2026-02-17 00:54:11,009 | INFO | academy_scraper | found category Men's Crew Neck Sweatshirts with breadcrumb Academy > Men's > Men's Clothing > Men's Hoodies + Sweatshirts > Men's Crew Neck Sweatshirts
2026-02-17 00:54:11,010 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-hoodies-and-sweatshirts/mens-crews
2026-02-17 00:54:11,310 | INFO | academy_scraper | found category Men's Quarter Zip Sweatshirts with breadcrumb Academy > Men's > Men's Clothing > Men's Hoodies + Sweatshirts > Men's Quarter Zip Sweatshirts
2026-02-17 00:54:11,310 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-hoodies-and-sweatshirts/mens-quarter-zip
2026-02-17 00:54:11,825 | INFO | academy_scraper | found category Men's Sweatpants + Joggers with breadcrumb Academy > Men's > Men's Clothing > Men's Pants > Men's Sweatpants + Joggers
2026-02-17 00:54:11,825 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/mens/mens-apparel/mens-pants/mens-sweats-joggers
2026-02-17 00:54:12,655 | INFO | academy_scraper | found category Men's Fishing Shirts with breadcrumb Academy > Outdoors > Fishing Gear + Equipment > Fishing Clothing > Fishing Shirts > Men's Fishing Shirts
2026-02-17 00:54:12,655 | INFO | academy_scraper | found a listing page : https://www.academy.com/c/outdoors/fishing/fishing-shoes-clothing/fishing-shirts--t-shirts/mens-fishing-shirts
